[25.7.2022, 11:49:41] | ---------------Startup at 25.7.2022, 11:49:41---------------
[25.7.2022, 11:50:10] | ---------------Startup at 25.7.2022, 11:50:10---------------
[25.7.2022, 11:50:41] | ---------------Startup at 25.7.2022, 11:50:41---------------
[25.7.2022, 11:50:41] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:00:00.000+02:00
[25.7.2022, 11:50:51] | ---------------Startup at 25.7.2022, 11:50:51---------------
[25.7.2022, 11:50:51] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:00:00.000+02:00
[25.7.2022, 11:50:51] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 11:51:00] | ---------------Startup at 25.7.2022, 11:51:00---------------
[25.7.2022, 11:51:00] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:00:00.000+02:00
[25.7.2022, 11:51:00] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 11:51:06] | /
[25.7.2022, 11:51:06] | /favicon.ico
[25.7.2022, 11:51:12] | /api
[25.7.2022, 11:51:17] | /api/
[25.7.2022, 11:54:49] | ---------------Startup at 25.7.2022, 11:54:49---------------
[25.7.2022, 11:54:49] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:00:00.000+02:00
[25.7.2022, 11:54:49] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 11:54:49] | /api/
[25.7.2022, 11:56:05] | /api/
[25.7.2022, 11:56:23] | /api/getProductList
[25.7.2022, 11:57:02] | ---------------Startup at 25.7.2022, 11:57:02---------------
[25.7.2022, 11:57:03] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:00:00.000+02:00
[25.7.2022, 11:57:03] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 11:57:03] | /api/getProductList
[25.7.2022, 11:57:03] | Error: ENOENT: no such file or directory, open './data/cron/watchedProducts.json'
[25.7.2022, 11:57:18] | ---------------Startup at 25.7.2022, 11:57:18---------------
[25.7.2022, 11:57:18] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:00:00.000+02:00
[25.7.2022, 11:57:18] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 11:57:38] | /api/getProductList
[25.7.2022, 11:57:55] | /api/getProduct?product=RPI-PICO
[25.7.2022, 11:57:55] | [object Object]
[25.7.2022, 11:58:00] | /api/getProduct?product=RPI-PICO-W
[25.7.2022, 11:58:00] | [object Object]
[25.7.2022, 11:58:21] | /api/addProdcutToList?product=RPI-PICO-W
[25.7.2022, 11:58:42] | /api/addProductToList?product=RPI-PICO-W
[25.7.2022, 11:58:42] | [object Object]
[25.7.2022, 12:00:00] | [BerryBase]: execute started
[25.7.2022, 12:00:00] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:30:00.000+02:00
[25.7.2022, 12:00:00] | [BerryBase]: listingReload call status true
[25.7.2022, 12:00:00] | [BerryBase]: Error Error: ENOENT: no such file or directory, open './data/cron/watchedProducts.json'
[25.7.2022, 12:00:12] | ---------------Startup at 25.7.2022, 12:00:12---------------
[25.7.2022, 12:00:12] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T12:30:00.000+02:00
[25.7.2022, 12:00:12] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 12:30:00] | [BerryBase]: execute started
[25.7.2022, 12:30:00] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T13:00:00.000+02:00
[25.7.2022, 12:30:00] | [BerryBase]: listingReload call status true
[25.7.2022, 12:30:00] | [BerryBase]: Error Error: ENOENT: no such file or directory, open '../data/cron/watchedProducts.json'
[25.7.2022, 12:35:42] | [BerryBase]: execute started
[25.7.2022, 12:35:43] | ---------------Startup at 25.7.2022, 12:35:43---------------
[25.7.2022, 12:35:43] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T13:00:00.000+02:00
[25.7.2022, 12:35:43] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 12:35:43] | [BerryBase]: listingReload call status true
[25.7.2022, 12:36:01] | ---------------Startup at 25.7.2022, 12:36:01---------------
[25.7.2022, 12:36:01] | [JOB SCHEDULE] berryBaseJob: 2022-07-25T13:00:00.000+02:00
[25.7.2022, 12:36:01] | berry-base-listener is running at http://localhost:42022
[25.7.2022, 12:36:12] | /api/getProduct?product=RPI-PICO-W
[25.7.2022, 12:36:12] | [object Object]
[25.7.2022, 12:36:17] | /api/getProduct?product=RPI-PICO
[25.7.2022, 12:36:17] | [object Object]
